[2026-01-09 19:26:16] CACHE HIT | Data: age: 2068s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:26:16] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 19:26:16] CACHE HIT | Data: age: 2067s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 19:26:16] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:26:16] CACHE HIT | Data: age: 2069s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:26:16] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:26:16] CACHE HIT | Data: age: 2068s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:26:32] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:26:32] CACHE HIT | Data: age: 2085s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:26:32] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:26:32] CACHE HIT | Data: age: 2084s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:27:32] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:27:32] CACHE HIT | Data: age: 2145s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:27:32] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:27:32] CACHE HIT | Data: age: 2144s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:27:32] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 19:27:32] CACHE HIT | Data: age: 2143s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 19:27:33] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:27:33] CACHE HIT | Data: age: 2146s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:27:33] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:27:33] CACHE HIT | Data: age: 2145s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:27:39] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:27:39] CACHE HIT | Data: age: 2152s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:27:39] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:27:39] CACHE HIT | Data: age: 2151s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:29:42] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:29:42] CACHE HIT | Data: age: 2275s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:29:42] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:29:42] CACHE HIT | Data: age: 2274s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:29:42] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 19:29:42] CACHE HIT | Data: age: 2273s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 19:29:43] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:29:43] CACHE HIT | Data: age: 2276s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:29:43] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:29:43] CACHE HIT | Data: age: 2275s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:29:55] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:29:55] CACHE HIT | Data: age: 2288s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:29:55] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:29:55] CACHE HIT | Data: age: 2287s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:32:57] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:32:57] CACHE HIT | Data: age: 2470s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
